,Artist,Lyrics,Song,genre
10,Future,DJ Esco Moe City coolest DJ muthafuckin planet Southside Wizard Metro Boomin want more nigga wicked Stand motor bust dashboardnStand motor bust dashboard Candles burning money burning graveyard niggasnPhantom parkin big dawg barkin hey Lortabs me ohohohoh Shawty want wave ohohohoh Im drippin Cartier ohohohoh Put gold bird you thats whats happening I put lengua her Spanish I fill one liter Xannies This continental panoramic Its complimentary savages You fuck around me tragedy I drink lean lean lean aint embarrassing I purchase Avianne lit huh Wedding band rings lit huhnMarried game Im shit huh Bitch made men You cant pull bitch Instagram I aint hit huhnAnd tellin lies cause aint shit uhnShe want bigbig dog status I alley nickel bags tallied Now Im Taliban Gang status thats whats happenin It aint dip dabbin hangin low key I cant believe it I corner gamblin Stand motor bust dashboardnStand motor bust dashboard,Wicked,rap
11,Kevin Gates,They ask Im real I say Is serious My daughter gon love bitch here All diamonds shine cause really diamonds Bad bitches line really trying They ask Im high I say Really really Got money mind I say Really really I look like I ballin cause Im really ballin I apologize Im really sorry They ask Im lyin I say Really really Im really mind I say Really reallynReally really Make em believe I made em believe A lyrical song writer sing Bringing money like raking leaves I trying get paper sneezenAchoo blessing She special you I look specialnActually I treat regular Not seen making spectacle Scared feds switch cellular Grey Monte Carlo Pockets indigent cant careful Steve like em tall yellownBroke college fresh low mileage I like em black pretty white teethnBody unique booty fleek Jhené Aiko chewing cheeksnGroceries please know me All diamonds shine cause really diamonds They ask Im high I say Really really When yo bitch I mess hernNo detective work I questioningnWhere been trying read messages I speak man thats irregular What need undressin hernWhat need caressin her Pulling hair back go pressin hernTrying see tap first made bet her Relationship flaking eczemanShe catching feelings say inseparable Oyster Perpetual replica Mustang GT streets smoking vegetables Trunk front make elephant I really really put syrup beverages Shopping Beverly check etiquettenLoving swag women tailor keep checking it Carats glisten necklaces All diamonds shine cause really diamonds They ask Im high I say Really really,Really Really,rap
12,MadeinTYO,K Swisha track Nawfside cooling shorty yeah thats I staynHeard lame boynGet facenAnd ex keep calling swear way And I need thick redbone shorty I laynBad bihh LA tell shell make trip Shorty bad hell yeah Kylie Jenner lips Uber everyfuckingwhere prerolls VIP Canada jawn yeah I think bitch 6 Shorty wanna kiss me I know sucking dicknShorty wanna kiss me I know sucking dick Look Uber everywhere prerolls VIPnYeah Uber everywhere prerolls VIP Aye skrrt skrrt Yeah I wanna get Rari I know takes time skrrtskrrt Preroll shorty light up know finenLil 5 5 Im rolling gas And I need leg room Bapestas first class East Atlanta jawn Cookout Moreland Ave skrrtskrrt She say bout action I think Imma pass Shorty wanna fuck I know I got topnShorty wanna fuck I got top skrrtskrrt I cant fuck ops never stop pull juice box Uber fucking everywherenUber everywhere prerolls VIP skrrtskrrtnUber everywhere prerolls VIP And I think bitch canadanI think 6 Uber everywhere prerolls VIP Hey hey hey skrrtskrrt Hey hey hey skrrtskrrt Hey hey hey skrrtskrrt Hey hey hey skrrtskrrt,Uber Everywhere,rap
13,Fetty Wap,1738nTellin guys I feel man When wake mornin ayynMoms yellin roomnLike I get 5 minutesnShit I aint really trippin school Lets get Wiz Khalifa high and Get meditated medicatednGet Wiz Khalifa high and Throw caps air like know made it ayy When wake mornin ayynMoms yellin roomnLike I get 5 minutesnShit I aint really trippin school Lets get Wiz Khalifa high Get meditated MedicatednGet Wiz Khalifa high and Throw caps air like know made it I told moms I aint trippin school cause I made it Ill never wrong like operationnTook niggas vision him mothafuckin babynSaid couple years later give back menTechnology movin slow Im waitin patientlynShit I want more Im meant be Remember young kids school used laugh himnGuess I played numbers real good check mathematics Zoovie Zoo Man I bought 12 cars blast past em Switch cars much know one blast at And bitch bad know ass fat Wanna ride Ill laugh at Zoo Gang crew put nothin past that When wake mornin ayynMoms yellin roomnLike I get 5 minutesnShit I aint really trippin school Lets get Wiz Khalifa high Get meditated MedicatednGet Wiz Khalifa high and Throw caps air like know made it ayy When wake mornin ayynMoms yellin roomnLike I get 5 minutesnShit I aint really trippin school Lets get Wiz Khalifa high Get meditated MedicatednGet Wiz Khalifa high and Throw caps air like know made it When wake mornin ayynMoms yellin roomnLike I get 5 minutesnShit I aint really trippin school Lets get Wiz Khalifa high Get meditated MedicatednGet Wiz Khalifa high and Throw caps air like know made it ayy When wake mornin ayynMoms yellin roomnLike I get 5 minutesnShit I aint really trippin school Lets get Wiz Khalifa high Get meditated MedicatednGet Wiz Khalifa high and Throw caps air like know made it,Wake Up,rap
14,Pitbull Featuring Enrique Iglesias,Mr Worldwide I heard friend heard friendnWho heard anothernYou messin around,Messin' Around,rap
15,Drake,Man live di hype huhnReal ting ay Yeah I pull Lexus like 07nI hit lick I got hit next one Last year I know learned lesson I could GPS need addressin Boss up Im bigger homienBut Im one year older lil homie 09 biddin menBut Im Young Money got written me Ok got actionnEverything I said happened That boy light Michael JacksonnBut verses blackin Chasin women distractionnThey wan TV right next menYou cannot right next menDont see Riri right next me I hate rapper especiallynThey feel same hide itnThey discuss privatenDont get along man tried itnWhats point even tryin I hate goofy especiallynThey always dyin mention menThey gotta die eventually I cannot give recipenYou know game sold separately Swear I epiphanynIt cost 50 Tiffanys Shout Tiffany StephanienThey used always come check me My enemies wanna friends enemiesnI let get me DonenLook Ive done life I count count againnTo make sure money right They love talknMe Im dunning hypenMe Im dunning hypenMe Im done done done done done I take shit grantednI propaganda I feel like Juelz SantananLeg hangin Phantom 6 cold like Alaska Views already classic Roy outta like NASA Bustin 1s plastic Her gram poppin fuck her The chain heavy tuck it Im serious I feed family thisnSo play money summer Im serious I run materialnYou speak me periodnYou try give em side storynThey heard it hearin it They feeling way hide itnNiggas done silent Dont get along man tried itnWhats point even tryin I hate goofy especiallynThey always dyin mention menThey gotta go gotta gonThey gonna die eventuallynI cannot give em empathy Ima Bs Im 70 They cannot fuck legacynI know else left me After one threat me My enemies wanna friends enemiesnI let get me DonenLook Ive done life I count count againnTo make sure money right They love talknMe Im done hypenMe Im done hypenMe Im done done done done done,Hype,rap
16,Drake,Breaking news niggasnIf girlfriend went anynSeason opener basketball gamenBest believe fucking niggas teamnShes fucking somebody basketball teamnIf game I say bounce shit like woahnYeah bounce shit like woahnThis fairytale I already know like itnTake mall get new outfitnGirl thats childs playnBounce shit like woah woah woahnWoah woah heard stories younI already know I like itnTake mall get new outfitnGirl thats childs playnBounce shit like woah yeahnBounce shit like woah Why gotta fight CheesecakenYou know I love go there Say Im actin lightskin I cant take nowhere This place families drive Camrys go DisneynThey need know business You wildin super childish go CVS KotexnIn Bugatti I took key tried hide itnSo cant drive it put mileagenThen find it awkward silence Momma saint yes raised real goodnAll I like I shouldnDont make give back hoodnDont make give back I say bounce shit like woahnYeah bounce shit like woahnThis fairytale I already know like itnTake mall get new outfitnGirl thats childs playnBounce shit like woah woah woahnWoah woah heard stories younI already know I like itnTake mall get new outfitnGirl thats childs playnBounce shit like woah yeahnBounce shit like woah Yeah rode dick like soldiernShe rode like soldiernShe rode like jungle soldiernShe rode like a yeah yeahnI got it yeah You wanna fall love I knownIm someone trust I know I give Chanel like hug I knownI knew couple friends way before How many girls slept bednSay different number one thats headnLying protect you I lot My past checkered like Louis got Married twenties now fun that My city love like college running back Pack bag gon end staying Im atnTook hood I could never give back I wanna let know someone love backnAll Cadillac like Im Teddy Pendergrass Whippin shit Im getting ready at Riding She rode dick like soldiernShe rode like soldiernShe rode like Melpomene soldiernShe rode dick like soldiernShe rode like soldiernShe rode like jungle soldiernRode dick like soldiernShe rode like soldiernShe rode like Melpomene soldiernBurrrrat stick it bburrrrat stick itnBurrrrat stick it bababa stick itnBurrrrat stick it bababa stick itnBurrrrat stick it bababa stick itnBurrrrat stick it bababa stick itnBurrrrat stick it bababa stick it Thank you thanks Drake thanks babynMotherfuckers drunk tirednTired Im tired boss,Childs Play,rap
17,Drake,Doin well dognYeah mynYeah meyeah Me niggas doin well doin well dognYou city I could tell I could tell dognDid it it myself myself dognBlew Im city still Im still here dog How I finesse shit Jane Weston Girls bed trip first impressionsnGirls bed ask hundred questions I cant fuck cause actin extranDo favorite rapper like son like son though Nothing mutual funds bout funds though All niggas fightin crumbs bread at How feel from yo bed at I need pill speak mind I need that I make people pay time yeah I need that And I see girl like time time thoughnI cant tell mine I know Me niggas doin well doin well dognYou city I could tell I could tell dognDid it it myself myself dognBlew Im city still Im still here dog Oh Im back dognOh went turned back dognI thought familynYou showed cant be I gotta talk God even though He near menBased I got hard think He hear me Hittin like 30 jersey man Im gifted Whole lot sixes Im still likenHallelujah Hallelujah Hallelujah 6point star Lion Judah All niggas aint rockin GuccinOne gotta it Got key doors open goin itnWhole city head boynI aint even gotta call one it Me niggas doin well doin well dognYou city I could tell I could tell dognDid it it myself myself dognBlew Im city still Im still Wow praise high up,Still Here,rap
18,Drake Featuring Future,Yeah yeahnYeah yeahnJheeze yeahnRight look look Tell really feelnTell really feelnI would ask whats dealnBut yall even got deal Most niggas dealnCouldnt make greatest hitsnYall whole lot thingsnBut still aint this I know onenThat could tell do Heard never claimed hoodnHeard hood claimed younThat cant sit wellnOh well ship sailednStill mine mine Cosign cosign I pull yachts bignThat try hit boat finesnHype Williams Big Pimpin yeahnJust like old times Same niggas old daysnLotta sides side OVO gold minenBut Im goin gold timenDoing plat plat only Boys better back menHall fame hall famenLike Im shirt off like Im shirt offnLike Im shirt shortynWhole city goin crazynWhole city goin crazynTop five debatinnTop five top five top five And whole city rate menAnd Im back inside The Matrix And I said would make itnAim squad traitorsnKnew niggas basementnThis aint metalongtheway shitnWe done really put days in Hey excited You know Im sayinnWhat happenednDid win Grammy God damnnYou actin like fuckin trophy shitnThis nigga turnt fuck up They gon think I GrammynThey gon think I Grammy Swervin PanoramicnIm hangin out cant stand me They gon think I GrammynThey gon think I GrammynThey gon think I GrammynThey gon think I Grammy Im showin out cant stand menIm showin out cant stand menIm swervin off cant stand menIm rr off cant stand me They gon think I GrammynThey gon think I GrammynThey gon think I GrammynThey gon think I Grammy Gonna peel like bandit Im noddin Xanax Get pissed off start airin itnGet head start aint friendly I stand out I blend innWhen I say I meant thatnI want talk hasbeens I want features nan themnI want features nothin You cant even get guest listnThey want go Met Gala I want Percocet gallonnThat Actavis HiTech matter We sittin right courtsidenI know players side Im cashin out fuck cosign I wear chain like bowtienI wear ring like fofivenKeep fofive po guysnBlack tints low profile Celebratin everydaynCause Im really really fresh coke housenCountin every single daynBout bring whole nother whip out They gon think I GrammynThey gon think I Grammy Swervin PanoramicnIm hangin out cant stand me They gon think I GrammynThey gon think I GrammynThey gon think I GrammynThey gon think I Grammy Im showin out cant stand menIm showin out cant stand menIm swervin off cant stand menIm rr off cant stand me They gon think I GrammynThey gon think I GrammynThey gon think I GrammynThey gon think I Grammy,Grammys,rap
19,Belly Featuring The Weeknd,Everybody round sayin I relax causenIve goin hard til eyes roll backward All I wanna forget past andnSmoke little weed really nothin drastic Any time see picture Im smilinnProbably cause Im faded Im chillin fans and Not really type let nigga talk back butnImma let slide cause niggas violent Shoutout ones spend money like habitnEven million dollars theyd trappin Got couple girls shootin movies mattress Then I hit booth make motherfuckin soundtracknThen I play back eightyinch plasma Then I get em faded super fantasticnRoll grandmaster smell plasticnNobody handle me Im gone When shits strong nights longnI took much Ive gone farnAnd I might make it I might make itnThis time I might make itnI might make it I might make itnThis time I might make itnI might make it I might make itnThis time I might make it I might not Bitches know told ho Its different strokes different folks Came north playin different snow Took niggas 401 Pacific Coast We longer put fish scale fishin boat Listen ho I know bitches want liquor smoke I know bitches want dick dough Told her You dont gotta make difficultnBaby sit calm dont need another episode Hippy bitches sendin titty pictures She told religion new religion She said believe God shoes Christian I heard servin everybody like soup kitchen Gettin hoes higher gettin hoes highernShe got work mornin Im gettin hoes fired Why fuck call purp mix pink You know I fuckin mix drinks shits strong When shits strong nights longnI took much Ive gone farnAnd I might make it I might make itnThis time I might make itnI might make it I might make itnThis time I might make itnI might make it I might make itnThis time I might make it I might not Cause Ive smoking lot Ive drinkingnI might make it oh I might make itnCause Ive smoking lot Ive drinkingnI might make it oh no I might make itnCause Ive smoking lot Ive drinkingnI might make it oh I might make itnCause Ive smoking lot Ive drinkingnI might make it oh no I might make Ooh,Might Not,rap
20,Drake,I downtown whipping way younYou got something belongs me Your body language says allnDespite things said me Who thats got gassed upnChangin opinion me I gone last monthsnBut time wait me I tried younTheres life sleeping getting high younI let go us show I could do And sit right younAnd tryna make feel way purposenNow throwing back face purposenNow talking name purpose yeahnAnd feel way think I deserve it Worlds worlds worlds famousnWorlds worlds worlds famous Feel way feel way young nigga feel waynIve stopped listenin things saynCause mean anyway yeahnFeel way feel way young nigga feel way Maybe things waynInstead way I tried younTheres life sleeping getting high younI let go us show I could do And sit right younAnd tryna make feel way purposenNow throwing back face purposenNow talking name purpose yeahnAnd feel way think I deserve it Worlds worlds worlds famousnWorlds worlds worlds famous Yeah yeah yeahnYeah yeah yeahnFeel way feel way young nigga feel waynIve stopped listening things saynFeel way feel way young nigga feel waynIve stopped listening things say Produced By Jordan Ullman,Feel No Ways,rap
21,Yo Gotti Featuring E-40,Niggas beefing bitches thats soft Piecing bottles boy let find outnDont let find out let find outnThem homegirls shoes bitch dont let find outnDont let find out let find out Trying steal swag copyright infringementnYou cant rock white white looking dingy Paper plastic POP thats law Cash delivery COD thats law Hush mouth sometime let em teach you thats law Know bail bonds man lawyer number heart thats law Interrogation keep tongue park thats law Mendocino,Law,rap
22,Kanye West,Intro Pastor TL Barrett Choir Future Youre power powernYoure power cannYoure power powernYoure power cannOoooooo ooooooo oooooonother help If young Metro trust Im gon shoot you Beautiful mornin sun mornin babenWho I turn tonNothin unwantednAfter all I turn tonBeautiful mornin sun mornin babenIf I turn younNothin unwantednNo help I know I stretch hands I wanna feel liberated II nanananWho I turn tonI wanna feel liberated II nanananAfter all I turn tonIf I ever instigated I sorrynIf I turn younTell could relate IIInNo help I know I stretch hands Now I fuck modelnAnd bleached assholenAnd I get bleach TshirtnIma feel like asshole I high I met hernWe Tribeca Shell get skin let hernShell get skin youuhnI even wanna talk itnI even wanna talk itnI even wanna say nothin Everybody gon say somethinnId worried said nothin Remind I know fromnShe lookin like owe somen You know wantnI wanna wake mynI wanna wake my Beautiful mornin sun mornin babenWho I turn tonBeautiful morninnNothin unwantednAfter all I turn tonBeautiful mornin sun mornin babenIf I turn younNothin unwantednNo help I know I stretch hands I wanna feel liberated II nanananWho I turn tonI wanna feel liberated II nanananAfter all I turn tonIf I ever instigated I sorrynIf I turn younTell could relate IIInNo help I know I stretch hands,Father Stretch My Hands Pt. 1,rap
23,Young Greatness,Yeah yeah yeah yeah yeah yeah Hook All life I hustled get moolah And stack change go see jeweler Standin kitchen I whip work Standin kitchen I whip work All I ever cocainenMy cousin Leeroy dope man And GT switchin four lanes On stove whip coke like propane On block shots go bang All life saved bellnI saved cocaine ay Young boys choppers young boys lawyers All life I hustled get moolah Standin kitchen I whip work Standin kitchen I whip work All life I hustled get moolah Standin kitchen I whip work Standin kitchen I whip work Got trap house bumpinnFirst month kids runnGot whole block jumping firenName ring I come through Addicted moolah no favors This feel like hell day bronIm falling love coco Shit run veins whole soulnGot whole block choke holdnMiddle finger poponCool coola addicted moolah All life I hustled get moolah And stack change go see jeweler Standin kitchen I whip work Standin kitchen I whip work All life I hustled get moolah And stack change go see jeweler Standin kitchen I whip work Standin kitchen I whip work All life I hustled get moolah And stack change go see jeweler Standin kitchen I whip work Standin kitchen I whip work All life I hustled get moolah And stack change go see jeweler Standin kitchen I whip work Standin kitchen I whip work,Moolah,rap
24,Chance The Rapper Featuring Lil Wayne & 2 Chainz,You want zero problems big fellanYep Igh If one label try stop menIts gon dreadhead niggas ya lobby huh huh You dont want problem want problem me bihnYou dont want problem want problem menJust another day pick mailnThere go Chano ridin streets like There gonYou dont want problem want problem me bihnYou dont want problem want problem menJust another day pick mailnThere go Chano ridin streets like There go Ooh watch come put hinges hands Countin Benjis meetin make em shake handnMilly rockin scoopin blessings lap Bitch I know tried cheat shoulda never took nap heynFuck wrong you What thinkinnFuck thought wasnYou talk talk make lame ass nigga fall lovenNot me though bitch keep those Bruh Im head like Craig Deebo Dont tweak bro never sweet honMy shooters come free so If one label try stop menIts gon dreadhead niggas ya lobby huh huh You dont want problem want problem menYou dont want problem want problem menYep yepnPull new thing Im likenYou dont want problem want problem menYou dont want problem want problem menYou dont want problem want problem menYou dont want problem want problem menThey like There go You old Petey Pablo take shirt offnWave round head like helicopter I aint put enough weed bluntnAll smoke tobacco Where hell get fromnYeezy said aint make them My niggas chasin bounty huntersnAnd gettin chased baby mommas My first tat stomach Got pocket full moneynAnd mind full ideas Some shit may sound weirdnInside MaybachnLook like came Ikea Run shit like diarrhea Big yacht power steeringnAye aye captainnIm high captain Im highnMe God dappin This blessinnThis passion School hard knocksnI took night classes You dont want problem want problem me bihnYou dont want problem want problem menYep yepnPull new thing Im likenThey like There go 3 Lil Wayne My deposits steroids Lord free Carter niggas need Carter Sacrificin everything I feel like Jesus Carter Hold up I got sewed up soda poured up My woes up Im flippin bucks toe tucks I rolled let smoke puffnI lay down toes upnHold up get choked I think old stuff Move on put goons on kidnap newborns In streets face coupon Her pussy warmnAll bitches come harmnJust bought new charmnFuck watch I buy new arm lukewarm Im Uncle Luke hoes Pretty bitches centerfoldsnTippy toes around crib robes robes Half milli safe another pillowcase Codeine got movin slower caterpillar racenFuck wrong you What thinkinnWhat thought was I popped five Percocets caught buzz And label try stop menThere gon crazy Weezy fans waitin lobbynMula baby You dont want problem want problem me bihnYou dont want problem want problem menJust another day pick mailnThere go Chano ridin streets like There gonYou dont want problem want problem me bihnYou dont want problem want problem menJust another day pick mailnThere go Chano ridin streets like There go You dont want problem want problem menYou dont want problem want problem menYou dont want problem want problem menYou dont want problem want problem menYou dont want problem want problem menYou dont want problem want problem menThey say so ridin payonThey like There go Produced BrassTracks,No Problem,rap
25,Drake,You used call mynYou used to used tonYeah You used call cell phonenLate night need lovenCall cell phonenLate night need love And I know hotline blingnThat mean one thingnI know hotline blingnThat mean one thing Ever since I left city younGot reputation nownEverybody knows I feel left outnGirl got down got stressed outnCause ever since I left city younStarted wearing less goin morenGlasses champagne dance floornHangin girls I never seen before You used call cell phonenLate night need lovenCall cell phonenLate night need love I know hotline blingnThat mean one thingnI know hotline blingnThat mean one thing Ever since I left city you you younYou me get alongnYou make feel like I wrongnGoing places belongnEver since I left city younYou got exactly asked fornRunning pages passportnHangin girls Ive never seen before You used call cell phonenLate night need lovenCall cell phonenLate night need love And I know hotline blingnThat mean one thingnI know hotline blingnThat mean one thing These days I isnWonder bendin backwards someone elsenWonder rolling Backwoods someone else Doing things I taught you gettin nasty someone elsenYou need one elsenYou need nobody else no Why never alonenWhy always touching roadnUsed always stay homenBe good girl zonenYeah yourselfnRight now someone else You used call cell phonenLate night need lovenCall cell phonenLate night need love And I know hotline blingnThat mean one thingnI know hotline blingnThat mean one thing Ever since I left city Produced Nineteen85,Hotline Bling,rap
26,Drake & Future,If Young Metro trust Im gon shoot younYeah yeahnHalloweennTaliban TalibannIm gon shoot younYeah Jumpman Jumpman Jumpman boys somethinnThey spent like two three weeks countrynThem boys somethin bluffin You call I hit dance like Usher woo I found tempo like Im DJ Mustard woo I hit Ginobili left hand like woo Lobster Céline babies I missnChicken fingers french fries hoes wanna diss Jumpman Jumpman Jumpman boys somethin Uh uh uh I think I need Robitussin Way many questions must think I trust yanYou searchin answers I know nothin woo I see em tweakin know somethins comin woo Jumpman Jumpman Jumpman boys somethin woonJumpman Jumpman Jumpman fuck expectin woo ChiTown ChiTown Michael Jordan text me woo Jumpman Jumpman Jumpman Jumpman Jumpman JumpmannI seen jet take off somethinnThem boys bluffin boys bluffin Jumpman Jumpman Jumpman boys somethin She tryna join team I told waitnChicken wings fries go dates Nobu Nobu Nobu Nobu Nobu NobunI threw private dinner LA Trappin hobby thats way menMoney comin fast never gettin sleepnI I buy another safe Bentley Spurs Phantom Jordan fadeaway Yeah Jumpman Jumpman I need introductionnJumpman Jumpman Metro Boomin production wow Hundred cousins Memphis country wow Tell stay night valet car come fuck now Jumpman Jumpman live TNT Im flexin woo Jumpman Jumpman gave collection woo Jump I say jump girl take direction Woo Mutombo bitches keep gettin rejected woo Heard came Magic City MondaynHeard club wild starstudded A bunch girls goin wild chain floodednAnd I em like wow cup dirty Dopeman dopeman dopeman dopeman dopeman dopemannMoney counter choppers floor I copped tempo DJ Mustard woo Way much codeine AdderallnWe count big racks whoa I know Ima get bitch back whoa I count racks I nownIma like whoa Chanel N9 Chanel N5 well got em both Jumpman Jumpman Jumpman boys somethinnThey spent like two three weeks countrynThem boys somethin bluffinnJumpman Jumpman Jumpman boys somethin,Jumpman,rap
27,Post Malone,Double OT Im new three Saucin saucin Im saucin you Im ballin Im ballin Iverson you Watch out watch out watch out yeah Thats shot thats shot thats shot yeah Spendin Im spendin fuckin pay I got braids I got hoes Started rockin sleeve I cant ball Joes You know I it Concords toes This shit hard I aint rich yet know I aint broke InSo I see it I like it buy store I Im white girls lovin cocanLike OT Double OT like Im KD smokin OG And know me 23s gold teethnBitch Im smiling bet see nosebleeds Im new three I change new 3s White Iverson When I started ballin I young You gon think Im gone I need money like ring I never won I won Saucin saucin Im saucin you Im ballin Im ballin Iverson you Thats shot thats shot thats shot yeah Spendin Im spendin fuckin pay Ooh Stoney Cigarettes headband Commas commas head man Slumped like dead man Red black bout bread man Im answer never question Lace up learn lesson Bitch Im saucin I often talkinnMy options right I walk in jump Jordans Im ballin money jumpinnLike Im Davis New Orleans Or bitch Im Harden I miss nothin Fuck practice shit happens know yall cant stand it I it I never pass it I work magic High average ball bastards makes happy Its tragic I make happen yall Shaqtin White Iverson When I started ballin I young You gon think Im gone I need money like ring I never won I won Saucin saucin Im saucin you Im ballin Im ballin Iverson you Thats shot thats shot thats shot yeah Spendin Im spendin fuckin pay,White Iverson,rap
28,Travis Scott,Produced Eestbound WondaGurl Dont open windownDont let antidote yahnPoppin pills know oohnIn hills know HollywoodnDont go front door through backnIts lowkey night show oohnSo open window oohnDont let antidote yah 1 Party Sunday that funnDo Monday one timenSpent check weekend oh GodnI might thats boss shit I hit three peat oohnFucked three hoes I met week Robert HorrynI old hoes oh no nonMy nigga thats nono straight up She want coco cocainanI want dinero paper huntin wellnWho front door who isnIf feds oh no no dont let em in shhh Dont open window yahnDont let antidote yah oohnPoppin pills know yahnIn hills know HollywoodnDont go front door in backnIts lowkey night show ooh Ayy ooh oohnAt night show oooohhwahnAt night show highernAt night show oooohhwahnOoh night show get lit nigganOoh night show Anything happen night show yuhnEverything happen night show oooohhwahnOoh night shownAnything happen night show yuhnOoh night show Ooh bitch home night shownOoh straight up fuckin right ho Ooh catch flight night shownOoh lets go lets get piped thoughnBottles got us right though aint sippin light nonRRRRRR La Flame I aint got type thoughnOnly got one night though twice though RRRRRR Its lit night shownOoh night show ooh oohnAt night shownOoh night shownYeah night shownEverything happen night shownOoh night shownAnything happen night shownOoh Stackin day day young nigganYou know gotta go get it go get it nigga They hatin stankin waitinnDont mistaken dyin stayinnLord Im fire think Im Satan Callin crazy different occasionsnKickin cameraman stagesnCause I like snappin anglesnIm overboard Im overimpatientnOver niggas kids ages Dealin Mo shit thats complicatednLike two bitches might related HTown got onenAnd Bun B like number onenIts late night got late shownIf wanna roll I got place where Poppin pills know oohnIn hills know HollywoodnDont go front door through backnIts lowkey night show oohnSo open window oohnDont let antidote,Antidote,rap
29,Fetty Wap Featuring Remy Boyz,Produced Peoples Yeaaah baby 17 RemyBoy Lifestyle Ay ay look Baby girl damn fine thoughnIm tryna know I could hit behind though Im sipping like fine wine thoughnAnd over I press rewind though ay You talking bands girl I got itnBenjamins pocket I traded Trues Robins He playing Batman Fettys gon rob him ay I got Glock Rari ayn17 shots 38nI got Glock Rarin17 shots 38 Im like yeah finenWonder shell minenShe walk past I press rewindnTo see ass one timenAnd I got sewed upnRemy Boyz know usnAll fast money slow bucksnNo one control usnAy yeaaah baby Im like yeah finenWonder shell minenShe walk past I press rewindnTo see ass one timenAnd I got sewed upnRemy Boyz know usnAll fast money slow bucksnNo one control usnAy yeaaah baby 2 Montana Bucks Tell seenIs money its menI smoke twenty smell weed I got hunnies VnThey like Monty baby daddynIm like yeah I got Robins jeansnYou see wings every pair All see Remy BoyznYou know niggas everywherenAnd somebody got problemnWe could meet anywherenNow go say somethingnDont niggas play dumbnYou know came from You dont want sauce A1 Im like yeah finenWonder shell minenShe walk past I press rewindnTo see ass one timenAnd I got sewed upnRemy Boyz know usnAll fast money slow bucksnNo one control usnAy yeaaah baby Ay think know usnThey cant control usnMan I got sewed upnRemy Boyz know usn679 Zoo year babynMonty Zoovier babynZooGang zoo near baby yeah baby A thousand shoes I walk baby 105 walkthrough baby ZooGang know whole zoo nearnAnd baby Im Zoovier Removed album PDice She cutie fine make wanna make minenShe aint nothing like bimbos If like it swerve light stain herenBlowing pluck window We get playing press rewind got singing every timenTake high note girlfriendnGot city looking rude I aint Diddy I aint Loon I think I need girlfriendnShe feeling great Im talking hernShe RemyGirl Im gon pursue her I brought lot loud lot Remy sip onnThousand dollars I get tip onnIm her asked fatty realnShe said thats her got happy feelnIm bout spoil her got happy feelnIm bout spoil her oh my Im like yeah finenWonder shell minenShe walk past I press rewindnJust see ass one timenAnd I got sewed upnRemy Boyz know usnAll fast money slow bucksnNo one control usnAy yeaaah baby ZooWap MontynZoowap DiceynYeaah baby Remy BoyznYeaah yeaaah,679,rap
30,G-Eazy x Bebe Rexha,Hook Bebe Rexha GEazy Oh me InSolo ride I dienCause I got life YeahnOh I need hand holdnEven night coldnI got fire soul 1 GEazy And far I see I need privacynPlus whole lot tree fuck modesty I need space menGive world theyre tryna see A Stella Maxwell right beside menA Ferrari Im buyin threenA closet Saint Laurent get I want I want Cause hunger drivin me yeahnI need alone I need home Understand Im speakin onnIf time money I need loannBut regardless Ill always keep keepin on Fuck fake friendsnWe take Ls make Ms While yall follow make trendsnIm right back work break ends Hook Bebe Rexha GEazy Oh me InSolo ride I dienCause I got lifenGot life yeahnOh I need hand holdnEven night coldnI got fire soul PostHook Bebe Rexha GEazy I need anything get nightnExcept beat thats heartnYeah keepin alive Keeps alivenI need anything make satisfied You knownCause music goodnAnd gets every time Yeah 2 GEazy Yeah I dont like talkin strangersnSo get fuck me Im anxiousnIm tryna cool I may go ape shitnSay Fuck yall yall faces It changes though Im famousnEveryone knows lifestyle dangerousnBut I love it rush amazinnCelebrate nightly everyone rages I found cope angersnIm swimmin moneynSwimmin liquor liver muddynBut good Im still sippin bubbly This shit lovely shit aint random I get luckynMade right cause Im sick it cuddy They take money grantednBut want work ittell now funny Hook Bebe Rexha GEazy Oh me InSolo ride I dienCause I got lifenOh I need hand holdnEven night coldnI got fire soul PostHook Bebe Rexha GEazy I need anything get nightnExcept beat thats heartnYeah keepin alivenI need anything make satisfiednCause music fills goodnAnd gets every time Bridge Bebe Rexha GEazy Like babababadabanBababadaba YeahnBabababadabanBababadabanBabababadabanBababadabanCause music fills goodnAnd gets every time 3 GEazy Yeah lonely nights I laid awakenPray Lord soul take My hearts become cold break Know Im great Im broke hellnHavin dreams Im foldin cake All life Ive told waitnBut Ima get now yeah debatenYeah Hook Bebe Rexha GEazy Oh me InSolo ride I dienCause I got lifenGot life yeahnOh I need hand holdnEven night coldnI got fire soul PostHook Bebe Rexha GEazy I need anything get nightnExcept beat thats heartnAnd keepin alive Keeps alivenI need anything make satisfied You knownCause music fills goodnAnd gets every time Bridge Bebe Rexha Like babababadabanBababadabanBabababadabanBababadabanBabababadabanBababadabanCause music fills goodnAnd gets every time Produced By Michael Keenan Music Video,"Me, Myself & I",rap
