,"10,000 Emerald Pools",7,Adventure Of A Lifetime,Alaska,All The Pretty Girls,America's Sweetheart,Angela,Arsonist's Lullabye,"Atlas, Rise!",Believer,Blame,Brace For Impact (Live A Little),Brand New,Chain Breaker,Cocoon,Cold Cold Cold,Dancing On Glass,Death Of A Bachelor,Die Young,Ditmas,"Do It, Try It",Don't Threaten Me With A Good Time,Emperor's New Clothes,Ex's & Oh's,Feed The Machine,Feel It Still,Fire Escape,Genghis Khan,Gone,Good Girls,HandClap,Happy Song,Hard Love,Hated,Heathens,Heavy,Heavydirtysoul,Help,Here's To The Heartache,Hot Thoughts,How Did You Love,Human,Hymn For The Weekend,Hypnotised,In The Dark,Keeping Your Head Up,Kiss This,LA Devotee,Let It Go,Let You Down,Lost On You,Love,Love Is Mystical,Love On The Weekend,Mess Around,Message Man,Middle Fingers,Monster,Mountain At My Gates,My Name Is Human,Never Again,Nimble Bastard,On Hold,Ophelia,Past Lives,Renegades,Ride,Rise,Saint Cecilia,Shine,Somebody Else,Spirits,Stars,Start A Riot,State Of My Head,Still Breathing,Still Feel Like Your Man,Stressed Out,Sucker For Pain,Sweet Disaster,Tearing Me Up,Testify,The Less I Know The Better,The Light,The Sound,The Sound Of Silence,Trip Switch,UGH!,Unsteady,Victorious,Walking On A Dream,Wash It All Away,Waste A Moment,Way Down We Go,Wild Horses,Wish I Knew You,Woman Woman,You And I
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Tonight we are victorious\nChampagne pouring over us\nAll my friends were glorious\nTonight we are victorious\nOh-oh-oh-oh, victorious\nOh-oh-oh-oh', '[Verse 1]', 'Double bubble disco queen headed to the guillotine\nSkin as cool as Steve McQueen, let me be your killer king', 'It hurts until it stops, we will love until it’s not', 'I’m a killing spree in white, eyes like broken Christmas lights', 'My touch is black and poisonous\nAnd nothing like my punch-drunk kiss\nI know you need it, do you feel it?\nDrink the water, drink the wine', 'Oh we gotta turn up the crazy\nLivin’ like a washed up celebrity', 'Shooting fireworks like it’s the Fourth of July\nUntil we feel alright\nUntil we feel alright', 'I’m like a scarf trick, it’s all up the sleeve\nI taste like magic, waves that swallow quick and deep', 'Throw the bait, catch the shark, bleed the water red', 'Fifty words for murder and I’m every one of them', 'My touch is black and poisonous\nAnd nothing like my punch-drunk kiss\nI know you need it, do you feel it?\nDrink the water, drink the wine', 'Oh we gotta turn up the crazy\nLivin’ like a washed up celebrity', 'Shooting fireworks like it’s the Fourth of July', 'Tonight we are victorious\nChampagne pouring over us\nAll my friends were glorious\nTonight we are victorious\nTonight we are victorious\nChampagne pouring over us\nAll my friends were glorious\nTonight we are victorious', 'Oh we gotta turn up the crazy\nLivin’ like a washed up celebrity', 'Shooting fireworks like it’s the Fourth of July\nUntil we feel alright\nUntil we feel alright', 'Tonight we are victorious\nChampagne pouring over us\nAll my friends were glorious\nTonight we are victorious']",,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""I know there's no form\nAnd no labels to put on\nTo this thing we keep\nAnd dip into when we need"", ""And I don't have the right\nTo ask where you go at night\nBut the waves hit my head\nTo think someone's in your bed"", ""I get a little bit Genghis Khan\nI don't want you to get it on\nWith nobody else but me\nWith nobody else but me"", ""I get a little bit Genghis Khan\nDon't want you to get it on\nWith nobody else but me\nWith nobody else but me"", ""And the lights, they glow\nLike I've just lost the World War\nAnd the scene slips away\nTo the evenness I fake"", ""It's a shit old world\nCause I don't really want you, girl\nBut you can't be free\nCause I'm selfish, I'm obscene"", ""I get a little bit Genghis Khan\nI don't want you to get it on\nWith nobody else but me\nWith nobody else but me"", ""I get a little bit Genghis Khan\nDon't want you to get it on\nWith nobody else but me\nWith nobody else but me"", ""Ooh, I wanna make up my mind\nBut I don't know myself\nNo I don't know myself, me\nOoh, I wanna make up my mind\nBut I don't know myself\nNo I don't know myself, me\nOoh, I wanna make up my mind\nBut I don't know myself\nNo I don't know myself"", ""And I get a little bit Genghis Khan\nI don't want you to get it on\nWith nobody else but me\nWith nobody else but me"", ""I get a little bit Genghis Khan\nDon't want you to get it on\nWith nobody else but me\nWith nobody else but me""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,"['You think your words will make me black and blue', ""But I, I think I'm pretty with these old boots on\nI think it's funny when I drink too much, hey\nYou try and change me, you can go to hell\nCause I don't want to be nobody else\nI like the chip I got in my front teeth\nAnd I got bad tattoos you won't believe"", 'So kick out the jams, kick up the soul\nPour another glass of that rock and roll\nTurn up the band, fire in the hole\nGonna lose control tonight', ""What do you want from me? I'm not America's sweetheart\nSo beat the drum with me, I'm not America's sweetheart"", ""Well, they say I'm too loud for this town\nSo I lit a match and burned it down"", ""What do you want from me, I'm not America's sweetheart\nBut you love me anyway"", 'My hands are dirty and my heart is cold', ""The boys I've been with say I got no soul\nWhen I, I meet another honey at the bar\nI'll think it's funny when I break his heart, mmm now"", 'My kind of medicine is whiskey straight', 'I got a mouth to put you in your place', ""And they, they said I'll never be the poster type\nBut they don't make posters of my kind of life"", 'So kick out the jams, kick up the soul\nPour another glass of that rock and roll\nTurn up the band, fire in the hole\nGonna lose control tonight', ""Well, they say I'm too loud for this town\nSo I lit a match and burned it down"", 'So kick out the jams, kick up the soul\nPour another glass of that rock and roll\nTurn up the band, fire in the hole\nGonna lose control tonight', 'Kick out the jams, kick up the soul\nPour another glass of that rock and roll\nTurn up the band, fire in the hole\nGonna lose control tonight', ""What do you want from me? I'm not America's sweetheart\nSo beat the drum with me, I'm not America's sweetheart"", ""Well, they say I'm too loud for this town\nSo I lit a match and burned it down"", ""What do you want from me, I'm not America's sweetheart\nBut you love me anyway\nYou love me anyway\nYou love me anyway"", ""I'm not America's sweetheart, no, no, no""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['And said drink from me, drink from me\n(Oh-ah-oh-ah)\nThat we shoot across the sky\nSymphony\nThat we shoot across the sky\nPour on a...\nDrink from me, drink from me\n(Oh-ah-oh-ah)\nThat we shoot across the sky\nSymphony\n(So high, so high)\nThat we shoot across the sky', 'Oh, angel sent from up above\nYou know you make my world light up\nWhen I was down, when I was hurt\nYou came to lift me up', ""Life is a drink and love's a drug\nOh now I think I must be miles up"", 'When I was a river dried up\nYou came to rain a flood', ""You said drink from me, drink from me\nWhen I was so thirsty\nPoured on a symphony\nNow I just can't get enough\nPut your wings on me, wings on me\nWhen I was so heavy\nPoured on symphony\nWhen I'm low, low, low, low"", 'I-Oh-I-Oh-I\nGot me feeling drunk and high\nSo high, so high\nOh-I-Oh-I-Oh-I\nNow I’m feeling drunk and high\nSo high, so high\n(Woo)\n(Woo-ooo-ooo-woo)', ""Oh, angel sent from up above\nI feel you coursing through my blood\nLife is a drink and your love's about\nTo make the stars come out"", ""Put your wings on me, wings on me\nWhen I was so heavy\nPoured on symphony\nWhen I'm low, low, low, low"", 'I-Oh-I-Oh-I\nGot me feeling drunk and high\nSo high, so high\nOh-I-Oh-I-Oh-I\nI’m feeling drunk and high\nSo high, so high', ""I-Oh-I-Oh-I\nLa, la, la, la, la, la, la\nSo high, so high\nI-Oh-I-Oh-I\nNow I'm feeling drunk and high\nSo high, so high""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,"['[Produced by Brendon Urie & Jake Sinclair]', 'Finders keepers, losers weepers', 'Welcome to the end of eras\nIce has melted back to life\nDone my time and served my sentence', 'Dress me up and watch me die', 'If it feels good, tastes good\nIt must be mine', 'Dynasty decapitated\nYou just might see a ghost tonight', ""And if you don't know now you know"", ""I'm taking back the crown"", ""I'm all dressed up and naked"", ""I see what's mine and take it"", '(Finders keepers, losers weepers)\nOh yeah', ""The crown...\nSo close I can taste it\nI see what's mine and take it"", '(Finders keepers, losers weepers)\nOh yeah', 'Sycophants on velvet sofas\nLavish mansions, vintage wine', 'I am so much more than royal\nSnatch your chain and mace your eyes', 'If it feels good, tastes good\nIt must be mine', 'Heroes always get remembered\nBut you know legends never die', ""And if you don't know now you know"", ""I'm taking back the crown"", ""I'm all dressed up and naked"", ""I see what's mine and take it"", '(Finders keepers, losers weepers)\nOh yeah', ""The crown...\nSo close I can taste it\nI see what's mine and take it"", '(Finders keepers, losers weepers)\nOh yeah', 'Mortal kings are ruling castles\nWelcome to my world of fun', 'Liars settle into sockets\nFlip the switch and watch them run', ""I'm taking back, back, taking back, back the crown"", ""I'm all dressed up and naked"", ""I see what's mine and take it"", '(Finders keepers, losers weepers)\nOh yeah', ""The crown...\nSo close I can taste it\nI see what's mine and take it"", '(Finders keepers, losers weepers)\nOh yeah', 'Finders keepers, losers weepers', 'Finders keepers, losers weepers']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""I got guns in my head and they won't go\nSpirits in my head and they won't go\nI got guns in my head and they won't go\nSpirits in my head and they won't"", 'I been looking at the stars tonight\nAnd I think oh, how I miss that bright sun', ""I'll be a dreamer 'til the day I die\nBut they say oh, how the good die young"", ""But we're all strange\nAnd maybe we don't wanna change"", ""I got guns in my head and they won't go\nSpirits in my head and they won't go\nI got guns in my head and they won't go\nSpirits in my head and they won't go\nBut the gun still rattles\nThe gun still rattles, oh\nI got guns in my head and they won't go\nSpirits in my head and they won't go"", ""I got guns in my head and they won't go\nSpirits in my head and they won't go\nI got guns in my head and they won't go\nSpirits in my head and they won't go\nBut the gun still rattles\nThe gun still rattles, oh\nBut the gun still rattles\nThe gun still rattles, oh"", '[Bridge]', ""And I don't want a never ending life\nI just want to be alive while I'm here"", ""And I don't want to see another night\nLost inside a lonely life while I'm here"", ""I got guns in my head and they won't go\nSpirits in my head and they won't go\nI got guns in my head and they won't go\nSpirits in my head and they won't go\nBut the gun still rattles\nThe gun still rattles, oh\nBut the gun still rattles\nThe gun still rattles, oh""]",,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Well I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart"", ""Well I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart"", ""I can't believe I forgot your name\nOh baby won't you cum again?"", 'She said ""I\'ve got a problem with your shoes\nAnd your tunes, but I might move in', 'And I thought that you were straight, now I\'m wondering""', 'You\'re so conceited, I said ""I love you""\nWhat does it matter if I lie to you?', 'I don\'t regret it but I\'m glad that we\'re through\nSo don\'t you tell me that you ""just don\'t get it""\nCause I know you do', ""Well I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart"", ""It's not about reciprocation, it's just all about me\nA sycophantic, prophetic, Socratic junkie wannabe"", ""There's so much skin to see\nA simple Epicurean philosophy"", ""And you say I'm such a cliché\nI can't see the difference in it either way"", ""And we left things to protect my mental health\nBut you'll call me when you're bored and you're playing with yourself"", 'You\'re so conceited, I said ""I love you""\nWhat does it matter if I lie to you?', ""I don't regret it but I'm glad that we're through\nSo don't you tell me that you just don't get it\nCause I know you"", ""Well I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart"", '[Guitar Solo: Adam Hann]', ""Well I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart""]",,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,"['[Click here to read Panic! At The Disco’s story about “Death of A Bachelor”]', ""Do I look lonely?\nI see the shadows on my face\nPeople have told me\nI don't look the same\nMaybe I lost weight\nI'm playing hooky\nWith the best of the best, pull my heart out my chest\nSo that you can see it too"", ""I'm walking the long road\nWatching the sky fall\nThe lace in your dress tangles my neck\nHow do I live?"", 'The death of a bachelor\nO-o-oh! Letting the water fall\nThe death of a bachelor\nO-o-oh! Seems so fitting for\nHappily ever after, whooo\nHow could I ask for more?\nA lifetime of laughter\nAt the expense of the death of a bachelor', ""I'm cutting my mind off\nIt feels like my heart is going to burst"", ""Alone at a table for two\nAnd I just wanna be served\nAnd when you think of me\nAm I the best you've ever had?"", ""Share one more drink with me\nSmile even though you're sad"", ""I'm walking the long road\nWatching the sky fall\nThe lace in your dress tangles my neck\nHow do I live?"", 'The death of a bachelor\nO-o-oh! Letting the water fall\nThe death of a bachelor\nO-o-oh! Seems so fitting for\nHappily ever after, whooo\nHow could I ask for more?\nA lifetime of laughter\nAt the expense of the death of a bachelor', 'The death of a bachelor\nO-o-oh! Letting the water fall\nThe death of a bachelor\nO-o-oh! Seems so fitting for\nHappily ever after, whooo\nHow could I ask for more?\nA lifetime of laughter\nAt the expense of the death of a bachelor']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Oh father, tell me, do we get what we deserve?\nOh we get what we deserve', 'And way down we go-o-o-o-o\nWay down we go-o-o-o-o\nSay way down we go\nWay down we go', 'Oh you let your feet run wild\nTime has come as we all oh, go down', 'Yeah but for the fall oh, my\nDo you dare to look him right in the eyes?', ""'Cause they will run you down, down til the dark\nYes and they will run you down, down til you fall\nAnd they will run you down, down til you go\nYeah so you can't crawl no more"", 'And way down we go-o-o-o-o\nOh way down we go\nSay way down we go', ""'Cause they will run you down, down 'til you fall\nWay down we go"", 'Uhh uhh uhh uhh uhh uhh uhh\nUhh uhh uhh uhh uhh uhh uhh\nUhh uhh uhh uhh uhh uhh uhh\nUh uhhhh uh\nUhh uhh uhh uhh uhh uhh uhh\nUhh uhh uhh uhh uhh uhh uhh\nUhh uhh uhh uhh uhh uhh uhh\nUh uhhhh\n\nOh bab-bab-yeah\nWow baby-a-aha\nBaby ooo\nBab, down we go\nYeah']",,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['I see a mountain at my gates\nI see it more and more each day\nWhat I give, it takes away\nWhether I go or when I stay', 'I see a mountain at my gates\nI see it more and more each day', 'I see a fire out by the lake', ""I'll drive my car without the brakes"", ""I see a mountain in my way\nIt's looming larger by the day"", ""I see a darkness in my fate\nI'll drive my car without the brakes"", 'Oh, gimme some time', 'Show me the foothold from which I can climb', 'Yeah, when I feel low\nYou show me a signpost for where I should go', 'I see a mountain at my gates\nI see it more and more each day', 'And my desire wears a dark dress\nBut each day, I see you less', 'Show me the foothold from which I can climb', 'Yeah, when I feel low\nYou show me a signpost for where I should go', ""Dark clouds gather 'round\nWill I run or stand my ground?"", ""Oh, when I come to climb\nShow me the mountain so far behind\nYeah, it's farther away\nIts shadow gets smaller day after day"", 'Yeah, gimme my way\nGimme my love\nGimme my choice\nYou keep me coming around\nGimme my fate\nGimme my lungs\nGimme my voice\nYou keep me coming around\nGimme my lungs\nGimme my, gimme my, gimme my, gimme my\nGimme my, gimme my, gimme my, gimme my, gimme my way\nGimme my fate\nGimme my lungs\nGimme my choice\nYou keep me coming round']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Oh, our flag is tattered\nAnd our bones are shattered\nBut it doesn’t matter\n‘Cause we’re movin’ forward', 'Yeah, I’m full of deep cuts right down to the marrow']",,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sharing secrets with another world', 'Rubbing shoulders with some unknown lovers', 'Making waves through the universe', 'Starting wars with anonymous brothers', 'Trip switch, trip switch', ""Make a wish and I'll count to three\nPress the button and we'll both be happy\nSending signals is a dirty trick"", 'I get my love in a digital package', ""What we do when the power's out\nWhat do we do when the lights go down?"", ""What we do when the power's out\nWhat do we do when the lights go down?"", ""Gimme data cause I need a hit\nHow I love stratospheric numbers\nInformation, I've been craving it"", 'Trip switch, trip switch', ""What we do when the power's out\nWhat do we do when the lights go down?""]",,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Oh no, oh no, oh no, oh no', 'Ahhhhh, oh no\nAhhhhh, oh no\nAhhhhh, oh no', ""No, she don't mess around\nNo, she don't mess around"", 'Oh St. Louis, California', 'Blue eyes', ""yeah she's comin' for ya"", 'Land of Mary, Charm City', ""Oh lord, wish she was my baby\nYou know she'll drive you crazy\nYeah she's coming for ya"", ""No, she don't mess around\nNo, she don't mess around"", ""No, she don't mess around\nNo, she don't mess around"", ""The heat is rising and only getting hotter, ready to blow\nI think I'll pour myself a glass of water, let it flow"", ""She'll show you what she's made of\nYeah she's comin' for ya\nShe's gonna try to break ya\nYeah she's comin' for ya"", ""No, she don't mess around\nNo, she don't mess around"", 'Ahhhhh, oh no\nAhhhhh, oh no\nAhhhhh, oh no', ""No, she don't mess around\nNo, she don't mess around"", 'Oh no, oh no, oh no, oh no', 'Ahhhhh, oh no\nAhhhhh, oh no\nAhhhhh, oh no', ""No, she don't mess around\nNo, she don't mess around"", 'Ahhhhh, oh no\nAhhhhh, oh no\nAhhhhh, oh no', ""No, she don't mess around\nNo, she don't mess around\nNo, she don't mess around""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['I will march down an empty street like a ship into the storm\nNo surrender, no retreat', 'I will tear down every wall\nJust to keep you warm\nJust to bring you home', 'I will burn this city down for a diamond in the dust', ""I will keep you safe and sound when there's no one left to trust\nWill you take my hand?\nWe can make our stand"", ""If your world falls apart\nI'd start a riot"", ""If night falls in your heart\nI'd light the fire"", ""In the dark, when you sound the alarm\nWe'll find each other's arms"", 'I will wade through the fire and smoke like sunlight through the haze', 'Through the bombs and blasts\nWe will take it back']",,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,"['[Humming]', 'When I was a child, I heard voices', 'Some would sing and some would scream', ""You'll soon find you have few choices"", 'I learned the voices died with me', ""When I was a child, I'd sit for hours\nStaring into open flames\nSomething in it had a power\nCould barely tear my eyes away"", 'All you have is your fire\nAnd the place you need to reach', ""Don't you ever tame your demons\nBut always keep them on a leash"", 'All you have is your fire\nAnd the place you need to reach', ""Don't you ever tame your demons\nBut always keep them on a leash"", 'When I was 16, my senses fooled me\nThought gasoline was on my clothes', 'I knew that something would always rule me', 'I knew this scent was mine alone', 'All you have is your fire\nAnd the place you need to reach', ""Don't you ever tame your demons\nBut always keep them on a leash"", 'When I was a man, I thought it ended', ""When I knew love's perfect ache"", 'But my peace has always depended\nOn all the ashes in my wake', 'All you have is your fire\nAnd the place you need to reach', ""Don't you ever tame your demons\nBut always keep them on a leash""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['So I heard you found somebody else\nAnd at first, I thought it was a lie', 'I took all my things that make sounds\nThe rest I can do without', ""I don't want your body\nBut I hate to think about you with somebody else\nOur love has gone cold\nYou're intertwining your soul with somebody else"", ""I'm looking through you\nWhile you're looking through your phone\nAnd then leaving with somebody else"", ""No, I don't want your body\nBut I'm picturing your body with somebody else"", ""I don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body"", ""C'mon baby (I know)\nThis ain't the last time that I'll see your face\nC'mon baby (I know)\nYou said you'd find someone to take my place"", 'Oh, I just don\'t believe that you have got it in you\n\'Cause we are just gonna keep ""doin\' it"" and every time\nI start to believe in anything you\'re saying\nI\'m reminded that I should be gettin\' over it', ""I don't want your body\nBut I hate to think about you with somebody else\nOur love has gone cold\nYou're intertwining your soul with somebody else"", ""I'm looking through you\nWhile you're looking through your phone\nAnd then leaving with somebody else"", ""No, I don't want your body\nBut I'm picturing your body with somebody else"", ""I don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body"", ""Get someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone\nGet someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone\nGet someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone\nGet someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone"", ""I don't want your body\nBut I hate to think about you with somebody else\nOur love has gone cold\nYou're intertwining your soul with somebody else"", ""I'm looking through you\nWhile you're looking through your phone\nAnd then leaving with somebody else"", ""No, I don't want your body\nBut I'm picturing your body with somebody else""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Thomas said stay home', 'Get away from me\nSaying I was bad for you', ""He got his way\nI'm gone for good"", 'Making up stories\nKeeping it secret', 'Taking your word for truth', ""You were bad for me\nSo I'm gone for good"", ""I did all I could\nSo kiss this one more time\nCause I'm gone for good\nYou misunderstood\nSo kiss this one last time\nAnd I'm gone for good"", ""Thomas said sorry\nComing home crawling\nDidn't give a shit before\nHe stole from me"", ""Getting back from this no second chances\nAnother phone call ignored\nYou are back for me\nBut I'm gone for good"", 'So kiss this one more time', '[Bridge: Luke Spiller]\nCan I get a little?\nAh ah ah a-h\nAh ah ah a-h\nAh ah ah a-a-h\nKiss this\nAh ah ah a-h\nAh ah ah a-h\nAh ah ah a-a-h\nKiss this\nKiss this\nI did all I could\nSo kiss this one more time\nOne more time', ""I did all I could\nSo kiss this one more time\nCause I'm gone for good\nYou misunderstood\nSo kiss this one last time\nAnd I'm gone for good""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,"['Do it, try it', 'Do it, try it', 'Do it, try it', 'Listen to the sound\nOf a new tomorrow', 'A dance on repeat\nA trance on a hard beat', 'A dance on repeat']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['All of the chaos\nAnd all of the lies\nI hate it', ""I'm wasting here\nCan anyone wash it all away\nI'm waiting here\nFor anyone to wash it all away\nWash it all away"", ""I've given up on the media\nFeeds my hysteria\nSick of living down on my knees"", ""I've given up on morality\nFeeds my brutality\nFuck what you think about me""]",,,,,,
29,,,,,,,,,,,,,,,,,,,,,,"['[Audio sample from The B-52\'s ""Rock Lobster""]', ""Alright, alright\nAlright, alright\nAlright, alright, it's a hell of a feeling though\nIt's a hell of a feeling though\nAlright, alright, it's a hell of a feeling though\nIt's a hell of a feeling though"", 'Who are these people?\nI just woke up in my underwear\nNo liquor left on the shelf\nI should probably introduce myself', ""You shoulda' seen what I wore\nI had a cane and a party hat"", ""I was the king of this hologram\nWhere there's no such thing as getting out of hand"", ""Memories tend to just pop up\nDrunk pre-meds and some rubber gloves\nFive-thousand people with designer drugs\nDon't think I'll ever get enough\n(Don't think I'll ever get enough)"", '[Audio sample from B52\'s ""Rock Lobster""]', 'Champagne, cocaine, gasoline\nAnd most things in between', 'I roam the city in a shopping cart\nA pack of camels and a smoke alarm', 'This night is heating up\nRaise hell and turn it up', 'Saying ""If you go on, you might pass out in a drain pipe""\nOh, yeah\nDon\'t threaten me with a good time', ""It's a hell of a feeling though\nIt's a hell of a feeling though\nAlright, alright\nIt's a hell of a feeling though\nIt's a hell of a feeling though"", ""What are these footprints?\nThey don't look very human-like\nNow I wish that I could find my clothes\nBedsheets and a morning rose"", ""I wanna wake up\nCan't even tell if this is a dream"", ""How did we end up in my neighbor's pool\nUpside-down with a perfect view?"", ""Bar to bar at the speed of sound\nFancy feet dancing through this town\nLost my mind in a wedding gown\nDon't think I'll ever get it now\n(Don't think I'll ever get it now)"", 'Champagne, cocaine, gasoline\nAnd most things in between', 'I roam the city in a shopping cart\nA pack of camels and a smoke alarm', 'This night is heating up\nRaise hell and turn it up', 'Saying ""If you go out you might pass out in a drain pipe""\nOh yeah\nDon\'t threaten me with a good time', ""I'm a scholar and a gentleman\nAnd I usually don't fall when I try to stand"", 'I lost a bet to a guy in a Chiffon skirt\nBut I make these high heels work', ""I told you time and time again\nI'm not as think as you drunk I am"", ""And we all fell down\nWhen the sun came up\nI think we've had enough"", ""Alright, alright, it's hell of a feeling though\nIt's a hell of a feeling though\nAlright, alright it's a hell of a feeling though\nIt's a hell of a feeling though"", 'Champagne, cocaine, gasoline\nAnd most things in between', 'I roam the city in a shopping cart\nA pack of camels and a smoke alarm', 'This night is heating up\nRaise hell and turn it up', 'Saying ""If you go out you might pass out in a drain pipe""\nOh yeah\nDon\'t threaten me with a good time']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,"['I feel like new sunglasses\nLike a brand new pair of jeans\nI feel like taking chances\nI feel a lot like seventeen', 'I feel like a young John Cusack']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Like an unsung melody\nThe truth is waiting there for you to find it', ""It's not a blight but a remedy"", 'A clear reminder of how it began', 'Sometimes darkness\nCan show you the light', ""Don't let hope become a memory"", 'Let the shadow permeate your mind and\nReveal the thoughts that were tucked away\nSo that the door can be opened again', 'Sometimes darkness\nCan show you the light']",,,,,,,,,,,,,,
