,Artist,Lyrics,Song
299,Queen & David Bowie,"['[Intro: Freddie Mercury]\nMmm num ba de\nDum bum ba be\nDoo buh dum ba beh beh', 'Pressure pushing down on me\nPressing down on you, no man ask for', 'Under pressure that burns a building down\nSplits a family in two', 'Puts people on streets', '[Bridge: Freddie Mercury]\nUm ba ba be\nUm ba ba be\nDe day da\nEe day da -', ""It's the terror of knowing what the world is about"", ""Watching some good friends screaming\n'Let me out'"", 'Pray tomorrow gets me higher', 'Pressure on people, people on streets', 'Day day de mm hm\nDa da da ba ba', 'Chipping around, kick my brains around the floor', 'These are the days it never rains but it pours', 'Ee do ba be\nEe da ba ba ba\nUm bo bo\nBe lap', 'People on streets', 'Ee da de da de', 'People on streets', 'Ee da de da de da de da', ""It's the terror of knowing what the world is about"", ""Watching some good friends screaming\n'Let me out'"", 'Pray tomorrow gets me higher, high', 'Pressure on people, people on streets', 'Turned away from it all like a blind man', ""Sat on a fence but it don't work"", ""Keep coming up with love but it's so slashed and torn"", ""Insanity laughs under pressure we're breaking"", ""Can't we give ourselves one more chance?\nWhy can't we give love that one more chance?\nWhy can't we give love, give love, give love, give love\nGive love, give love, give love, give love, give love?"", ""Because love's such an old fashioned word"", 'And love dares you to care for\nThe people on the (people on streets) edge of the night\nAnd love (people on streets) dares you to change our way of\nCaring about ourselves', 'This is our last dance\nThis is our last dance', 'This is ourselves under pressure', 'Under pressure\nPressure']",Under Pressure
300,David Bowie,[],Space Oddity
301,The 1975,"[""Well I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart"", ""Well I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart"", ""I can't believe I forgot your name\nOh baby won't you cum again?"", 'She said ""I\'ve got a problem with your shoes\nAnd your tunes, but I might move in', 'And I thought that you were straight, now I\'m wondering""', 'You\'re so conceited, I said ""I love you""\nWhat does it matter if I lie to you?', 'I don\'t regret it but I\'m glad that we\'re through\nSo don\'t you tell me that you ""just don\'t get it""\nCause I know you do', ""Well I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart"", ""It's not about reciprocation, it's just all about me\nA sycophantic, prophetic, Socratic junkie wannabe"", ""There's so much skin to see\nA simple Epicurean philosophy"", ""And you say I'm such a cliché\nI can't see the difference in it either way"", ""And we left things to protect my mental health\nBut you'll call me when you're bored and you're playing with yourself"", 'You\'re so conceited, I said ""I love you""\nWhat does it matter if I lie to you?', ""I don't regret it but I'm glad that we're through\nSo don't you tell me that you just don't get it\nCause I know you"", ""Well I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart"", '[Guitar Solo: Adam Hann]', ""Well I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart\nWell I know when you're around cause I know the sound\nI know the sound, of your heart""]",The Sound
302,BORNS,"[""Candy, she's sweet like candy in my veins\nBaby, I'm dying for another taste"", 'And every night my mind is running around her', ""Thunder's getting louder and louder"", ""Baby you're like lightning in a bottle"", ""I can't let you go now that I got it"", 'And all I need is to be struck\nBy your electric love', 'Electric love', 'Drown me, you make my heart beat like the rain\nSurround me, hold me deep beneath your waves', ""Thunder's getting louder and louder"", ""Baby you're like lightning in a bottle"", 'Rushing though me\nFeel your energy rushing through me', ""Baby you're like lightning in a bottle"", '[Click here to learn more about the making of ""Electric Love""]']",Electric Love
303,David Bowie,"['[Intro]', ""Look up here, I'm in heaven"", ""I've got scars that can't be seen"", ""I've got drama, can't be stolen"", 'Everybody knows me now', ""Look up here, man, I'm in danger\nI've got nothing left to lose\nI'm so high, it makes my brain whirl"", ""Dropped my cell phone down below\nAin't that just like me?"", 'By the time I got to New York\nI was living like a king\nThere I used up all my money', 'I was looking for your ass', ""This way or no way\nYou know I'll be free\nJust like that bluebird\nNow, ain't that just like me?\n\nOh, I'll be free\nJust like that bluebird\nOh, I'll be free\nAin't that just like me?"", '[Outro]']",Lazarus
304,Panic! At The Disco,"['[Audio sample from The B-52\'s ""Rock Lobster""]', ""Alright, alright\nAlright, alright\nAlright, alright, it's a hell of a feeling though\nIt's a hell of a feeling though\nAlright, alright, it's a hell of a feeling though\nIt's a hell of a feeling though"", 'Who are these people?\nI just woke up in my underwear\nNo liquor left on the shelf\nI should probably introduce myself', ""You shoulda' seen what I wore\nI had a cane and a party hat"", ""I was the king of this hologram\nWhere there's no such thing as getting out of hand"", ""Memories tend to just pop up\nDrunk pre-meds and some rubber gloves\nFive-thousand people with designer drugs\nDon't think I'll ever get enough\n(Don't think I'll ever get enough)"", '[Audio sample from B52\'s ""Rock Lobster""]', 'Champagne, cocaine, gasoline\nAnd most things in between', 'I roam the city in a shopping cart\nA pack of camels and a smoke alarm', 'This night is heating up\nRaise hell and turn it up', 'Saying ""If you go on, you might pass out in a drain pipe""\nOh, yeah\nDon\'t threaten me with a good time', ""It's a hell of a feeling though\nIt's a hell of a feeling though\nAlright, alright\nIt's a hell of a feeling though\nIt's a hell of a feeling though"", ""What are these footprints?\nThey don't look very human-like\nNow I wish that I could find my clothes\nBedsheets and a morning rose"", ""I wanna wake up\nCan't even tell if this is a dream"", ""How did we end up in my neighbor's pool\nUpside-down with a perfect view?"", ""Bar to bar at the speed of sound\nFancy feet dancing through this town\nLost my mind in a wedding gown\nDon't think I'll ever get it now\n(Don't think I'll ever get it now)"", 'Champagne, cocaine, gasoline\nAnd most things in between', 'I roam the city in a shopping cart\nA pack of camels and a smoke alarm', 'This night is heating up\nRaise hell and turn it up', 'Saying ""If you go out you might pass out in a drain pipe""\nOh yeah\nDon\'t threaten me with a good time', ""I'm a scholar and a gentleman\nAnd I usually don't fall when I try to stand"", 'I lost a bet to a guy in a Chiffon skirt\nBut I make these high heels work', ""I told you time and time again\nI'm not as think as you drunk I am"", ""And we all fell down\nWhen the sun came up\nI think we've had enough"", ""Alright, alright, it's hell of a feeling though\nIt's a hell of a feeling though\nAlright, alright it's a hell of a feeling though\nIt's a hell of a feeling though"", 'Champagne, cocaine, gasoline\nAnd most things in between', 'I roam the city in a shopping cart\nA pack of camels and a smoke alarm', 'This night is heating up\nRaise hell and turn it up', 'Saying ""If you go out you might pass out in a drain pipe""\nOh yeah\nDon\'t threaten me with a good time']",Don't Threaten Me With A Good Time
305,Eagles,"[""I've got seven women on\nMy mind"", ""Four that wanna own me\nTwo that wanna stone me\nOne says she's a friend of mine"", ""Don't let the sound of your own wheels\nDrive you crazy"", ""Lighten up while you still can\nDon't even try to understand\nJust find a place to make your stand\nAnd take it easy"", ""Well, I'm a standing on a corner\nIn Winslow, Arizona"", ""It's a girl, my Lord, in a flatbed\nFord slowin' down to take a look at me""]",Take It Easy
306,David Bowie,"['Ah, ah, ah, ah', ""(Let's dance)\n(Let's dance)\n(Let's dance)"", 'Put on your red shoes and dance the blues', ""(Let's sway)\nUnder the moonlight, this serious moonlight"", ""(Let's sway)\nUnder the moonlight, this serious moonlight""]",Let's Dance
307,David Bowie,"['I, I will be king\nAnd you, you will be queen\nThough nothing, will drive them away\nWe can beat them, just for one day', 'We can be heroes, just for one day', ""And you, you can be mean\nAnd I, I'll drink all the time\n'Cause we're lovers, and that is a fact\nYes we're lovers, and that is that"", ""Though nothing, will keep us together\nWe could steal time, just for one day\nWe can be heroes, forever and ever\nWhat d'you say?"", '[Verse 2]', 'I, I wish you could swim\nLike the dolphins, like dolphins can swim', 'Though nothing, nothing will keep us together\nWe can beat them, forever and ever\nOh we can be heroes, just for one day', 'I, I will be king\nAnd you, you will be queen', 'Though nothing, will drive them away', 'We can be heroes, just for one day', 'We can be us, just for one day', '[Verse 3]', 'I, I can remember (I remember)\nStanding, by the wall (by the wall)\nAnd the guns, shot above our heads (over our heads)\nAnd we kissed, as though nothing could fall (nothing could fall)', 'And the shame, was on the other side', 'Oh we can beat them, forever and ever\nThen we could be heroes, just for one day', 'We can be heroes\nWe can be heroes\nWe can be heroes, just for one day\nWe can be heroes', ""We're nothing, and nothing will help us\nMaybe we're lying, then you better not stay\nBut we could be safer, just for one day\nOh-oh-oh-ohh, oh-oh-oh-ohh, just for one day""]",Heroes
308,David Bowie,"['And my time was running wild', 'A million dead-end streets', ""Every time I thought I'd got it made\nIt seemed the taste was not so sweet"", ""But I've never caught a glimpse\nOf how the others must see the faker\nI'm much too fast to take that test"", 'Time may change me', 'I watch the ripples change their size\nBut never leave the stream\nOf warm impermanence and', ""And these children that you spit on\nAs they try to change their worlds\nAre immune to your consultations\nThey're quite aware of what they're going through\n\n[Chorus]\nCh-ch-ch-ch-Changes\n(Turn and face the strange)\nCh-ch-Changes\nDon't tell them to grow up and out of it"", ""Where's your shame\nYou've left us up to our necks in it"", ""Oh, look out you rock 'n rollers\nCh-ch-ch-ch-changes\n(Turn and face the strange)\nCh-ch-changes\nPretty soon now you're gonna get older""]",Changes
309,Panic! At The Disco,"[""If you're a lover, you should know\nThe lonely moments just get lonelier\nThe longer you're in love\nThan if you were alone"", 'Memories turn into daydreams\nBecome a taboo', ""I don't want to be afraid\nThe deeper that I go\nIt takes my breath away"", 'Soft hearts electric souls\nHeart to heart and eyes to eyes', 'Is this taboo?', 'Baby we built this house\nOn memories', 'Take my picture now\nShake it till you see it', 'And when your fantasies\nBecome your legacy\nPromise me a place\nIn your house of memories', ""I think of you from time to time\nMore than I thought I would\nYou were just too kind\nAnd I was too young to know\nThat's all that really matters\nI was a fool"", 'Baby we built this house\nOn memories', 'Take my picture now\nShake it til you see it', 'And when your fantasies\nBecome your legacy\nPromise me a place\nIn your house of memories', ""Those thoughts of\nPast lovers\nThey'll always haunt me\nI wish I\nCould believe\nYou'd never wrong me\nThen will you\nRemember\nMe in the same way\nAs I remember you"", 'Baby we built this house\nOn memories', 'Take my picture now\nShake it til you see it', 'And when your fantasies\nBecome your legacy\nPromise me a place', 'Baby we built this house\nOn memories', 'Take my picture now\nShake it til you see it', 'And when your fantasies\nBecome your legacy\nPromise me a place\nIn your house of memories\nIn your house of memories\nPromise me a place']",House Of Memories
310,Panic! At The Disco,"['[Intro]', 'You can set yourself on fire\nYou can set yourself on fire', 'She said ""at night in my dreams\nYou dance on a tightrope of weird', ""Oh but when I wake up\nYou're so normal that you just disappear\nYou're so straight like commuters\nWith briefcases towing the line"", ""There's no residue of a torturer\nInside of your eyes"", ""She said you're just like Mike Love\nBut you wanna be Brian Wilson, Brian Wilson\nShe said you're just like Mike Love\nBut you'll never be Brian Wilson"", ""And I said\nHey ay ay\nHey ay if crazy equals genius\nHey ay ay\nHey ay if crazy equals genius\nThen I'm a fucking arsonist\nI'm a rocket scientist (hey, hey!)\nHey ay ay\nHey ay ay\nIf crazy equals genius..."", ""You can set yourself on fire\nBut you're never gonna burn, burn, burn\nYou can set yourself on fire\nBut you're never gonna learn, learn, learn\nHey!"", 'She said, ""Darlin\', you know\nHow the wine plays tricks on my tongue\nBut you don\'t seem to change\nWhen you stuff all of your feelings with drugs""', ""Other boys you may have dated\nSerrated your heart with a slice\nBut the cut of your love never hurts\nBaby, it's a sweet butter knife"", ""She said you're just like Mike Love\nBut you wanna be Brian Wilson, Brian Wilson\nShe said you're just like Mike Love"", ""But you'll never be Dennis Wilson"", ""And I said\nHey ay ay\nHey ay if crazy equals genius\nHey ay ay\nHey ay if crazy equals genius\nThen I'm a fucking arsonist\nI'm a rocket scientist\nHey ay ay\nHey ay ay\nIf crazy equals genius..."", ""You can set yourself on fire\nBut you're never gonna burn, burn, burn\nYou can set yourself on fire\nBut you're never gonna learn, learn, learn\nHey!"", 'You can set yourself on fire\nYou can set yourself on fire\nYou can set yourself on fire\nYou can set yourself on fire', ""And I said\nHey ay ay\nHey ay if crazy equals genius\nHey ay ay\nHey ay if crazy equals genius\nThen I'm a fucking arsonist\nI'm a rocket scientist\nHey ay ay\nHey ay ay\nIf crazy equals genius..."", ""You can set yourself on fire\nBut you're never gonna burn, burn, burn\nYou can set yourself on fire\nBut you're never gonna learn, learn, learn\nHey ay ay""]",Crazy=Genius
311,Panic! At The Disco,"['Oh, the good, the bad, and the dirty\nOh, the good, the bad, and the dirty', 'Truth is that it was always going to end\nThe symphony buzzing in my head\nTook a market of filth\nAnd sold like summer', ""True, all of the good girls act so good\n'Til one of them doesn't wait their turn\nTurn the memory to stone\nAnd carve your shoulder\nHey, holy roller"", 'If you wanna start a fight\nYou better throw the first punch\nMake it a good one', 'And if ya wanna make it through the night\nYou better say my name like\nThe good, the bad, and the dirty, oh\nThe good, the bad, and the dirty, oh\nThe good, the bad, and the dirty', ""I know what it's like to have to trade\nThe ones that you love for the ones you hate"", ""Don't think I've ever used a day of my education"", ""There's only two ways that these things can go\nGood or bad and how was I to know\nThat all your friends won't hold any grudges\nI got the final judgement"", 'If you wanna start a fight\nYou better throw the first punch\nMake it a good one', 'And if ya wanna make it through the night\nYou better say my name like\nThe good, the bad, and the dirty, oh\nThe good, the bad, and the dirty, oh\nThe good, the bad, and the dirty', ""And you been gone so long\nI forgot what you feel like\nBut I'm not gonna think about that right now"", ""I'm gonna keep getting underneath you\nI'm gonna keep getting underneath you\nAnd all our friends want us to fall in love"", 'If you wanna start a fight\nYou better throw the first punch\nMake it a good one', 'And if ya wanna make it through the night\nYou better say my name like\nThe good, the bad, and the dirty, oh\nThe good, the bad, and the dirty, oh\nThe good, the bad, and the dirty']","The Good, The Bad And The Dirty"
312,David Bowie,"['{Intro}', 'In the villa of Ormen, in the villa of Ormen', 'Stands a solitary candle, ah-ah, ah-ah\nIn the centre of it all, in the centre of it all\nYour eyes', 'On the day of execution, on the day of execution\nOnly women kneel and smile, ah-ah, ah-ah\nAt the centre of it all, at the centre of it all\nYour eyes, your eyes', '{Bridge I}\n\nAh-ah-ah\nAh-ah-ah', 'In the villa of Ormen, in the villa of Ormen', 'Stands a solitary candle, ah-ah, ah-ah\nAt the centre of it all, at the centre of it all\nYour eyes, your eyes\nAh-ah-ah', '{Bridge II}', 'Something happened on the day he died', 'Spirit rose a metre and stepped aside\nSomebody else took his place, and bravely cried', '(I’m a blackstar, I’m a blackstar)', 'How many times does an angel fall?', 'How many people lie instead of talking tall?', 'He trod on sacred ground, he cried loud into the crowd\n(I’m a blackstar, I’m a blackstar, I’m not a gangstar)', 'I can’t answer why (I’m a blackstar)\nJust go with me (I’m not a filmstar)\nI’m-a take you home (I’m a blackstar)', 'Take your passport and shoes (I’m not a popstar)\nAnd your sedatives, boo (I’m a blackstar)', 'You’re a flash in the pan (I’m not a marvel star)\nI’m the Great I Am (I’m a blackstar)', 'I’m a blackstar, way up, on money, I’ve got game\nI see right, so wide, so open-hearted pain', 'I want eagles in my daydreams, diamonds in my eyes', '(I’m a blackstar, I’m a blackstar)', 'Something happened on the day he died', ""Spirit rose a metre then stepped aside\nSomebody else took his place, and bravely cried\n(I’m a blackstar, I’m a star's star, I’m a blackstar)"", ""I can’t answer why (I’m not a gangstar)\nBut I can tell you how (I’m not a flam star)\nWe were born upside-down (I’m a star's star)\nBorn the wrong way ‘round (I’m not a white star)"", '(I’m a blackstar, I’m not a gangstar\nI’m a blackstar, I’m a blackstar\nI’m not a pornstar, I’m not a wandering star', '{Bridge III}', 'In the villa of Ormen', 'stands a solitary candle\nAh-ah, ah-ah\nAt the centre of it all, your eyes', 'On the day of execution, only women kneel and smile\nAh-ah, ah-ah\nAt the centre of it all, your eyes, your eyes\nAh-ah-ah', '{Outro}']",Blackstar
313,Panic! At The Disco,"['I found a pile of Polaroids\nIn the crates of a record shop\nThey were sexy, sexy looking back\nFrom a night that time forgot', 'Boy, he was something, debonair in 1979\nAnd she had Farrah Fawcett hair', 'Carafes of blood red wine', 'In the summertime\nIn the summertime', ""Oh don't you wonder when the light begins to fade?\nAnd the clock just makes the colors turn to grey\nForever younger\nGrowing older just the same"", ""All the memories that we make will never change\nWe'll stay drunk, we'll stay tan, let the love remain"", ""And I swear that I'll always paint you"", 'Golden days\nGolden days\nGolden days\nGolden days', ""I bet they met some diplomats on Bianca Jagger's new yacht\nWith their caviar and dead cigars\nThe air was sauna hot"", ""I bet they never even thought about\nThe glitter dancing on the skin\nThe decades might've washed it out\nAs the flashes popped like pins"", 'In the summertime\nIn the summertime', ""Oh don't you wonder when the light begins to fade?\nAnd the clock just makes the colors turn to grey\nForever younger\nGrowing older just the same"", ""All the memories that we make will never change\nWe'll stay drunk, we'll stay tan, let the love remain"", ""And I swear that I'll always paint you"", 'Golden days\nGolden days\nGolden days\nGolden days', ""Time can never break your heart\nBut it'll take the pain away\nRight now our future's certain\nI won't let it fade away"", 'Golden days\nGolden days\nGolden days\nGolden days\nGolden days\nGolden days\nGolden days\nGolden days']",Golden Days
314,Panic! At The Disco,"['[Verse 1]', ""There's no sunshine\nThis impossible year\nOnly black days and sky grey\nAnd clouds full of fear\nAnd storms full of sorrow\nThat won't disappear\nJust typhoons and monsoons\nThis impossible year"", '[Verse 2]', ""There's no good times\nThis impossible year\nJust a beachfront of bad blood\nAnd a coast that's unclear\nAll the guests at the party\nThey're so insincere\nThey just intrude and exclude\nThis impossible year"", '[Verse 3]', ""There's no you and me\nThis impossible year\nOnly heartache and heartbreak\nAnd gin made of tears"", 'The bitter pill I swallow', 'The scars souvenir\nThat tattoo, your last bruise\nThis impossible year', ""There's never air to breathe\nThere's never in-betweens\nThese nightmares always hang on past the dream"", '[Outro]', ""There's no sunshine\nThere's no you and me\nThere's no good times\nThis impossible year""]",Impossible Year
315,Miike Snow,"[""I know there's no form\nAnd no labels to put on\nTo this thing we keep\nAnd dip into when we need"", ""And I don't have the right\nTo ask where you go at night\nBut the waves hit my head\nTo think someone's in your bed"", ""I get a little bit Genghis Khan\nI don't want you to get it on\nWith nobody else but me\nWith nobody else but me"", ""I get a little bit Genghis Khan\nDon't want you to get it on\nWith nobody else but me\nWith nobody else but me"", ""And the lights, they glow\nLike I've just lost the World War\nAnd the scene slips away\nTo the evenness I fake"", ""It's a shit old world\nCause I don't really want you, girl\nBut you can't be free\nCause I'm selfish, I'm obscene"", ""I get a little bit Genghis Khan\nI don't want you to get it on\nWith nobody else but me\nWith nobody else but me"", ""I get a little bit Genghis Khan\nDon't want you to get it on\nWith nobody else but me\nWith nobody else but me"", ""Ooh, I wanna make up my mind\nBut I don't know myself\nNo I don't know myself, me\nOoh, I wanna make up my mind\nBut I don't know myself\nNo I don't know myself, me\nOoh, I wanna make up my mind\nBut I don't know myself\nNo I don't know myself"", ""And I get a little bit Genghis Khan\nI don't want you to get it on\nWith nobody else but me\nWith nobody else but me"", ""I get a little bit Genghis Khan\nDon't want you to get it on\nWith nobody else but me\nWith nobody else but me""]",Genghis Khan
316,3 Doors Down,[],In The Dark
317,BANNERS,"['I will march down an empty street like a ship into the storm\nNo surrender, no retreat', 'I will tear down every wall\nJust to keep you warm\nJust to bring you home', 'I will burn this city down for a diamond in the dust', ""I will keep you safe and sound when there's no one left to trust\nWill you take my hand?\nWe can make our stand"", ""If your world falls apart\nI'd start a riot"", ""If night falls in your heart\nI'd light the fire"", ""In the dark, when you sound the alarm\nWe'll find each other's arms"", 'I will wade through the fire and smoke like sunlight through the haze', 'Through the bombs and blasts\nWe will take it back']",Start A Riot
318,Foo Fighters,"[""There ain't no secrets anymore\nMy name's been hanging on the hook outside your door\nJust an old eyesore"", 'Bring me some healing\nSaint Cecilia', ""I know no matter what I say\nDays will come and go\nNo matter what I say\nNothing's set in stone\nNo matter what I say\nDays go by\nI know no matter what I say\nDays will come and go\nNo matter what I say\nNothing's set in stone\nNo matter what I say\nDays go by""]",Saint Cecilia
319,Coldplay,"['I used to rule the world\nSeas would rise when I gave the word', 'Now in the morning I sleep alone\nSweep the streets I used to own', ""I used to roll the dice, feel the fear in my enemy's eyes"", 'Listen as the crowd would sing\nNow the old King is dead, long live the King', 'One minute I held the key', 'Next the walls were closed on me', 'And I discovered that my castles stand\nUpon pillars of salt and pillars of sand', 'I hear Jerusalem bells a-ringing', 'Roman Cavalry choirs are singing', 'Be my mirror, my sword and shield', 'My missionaries in a foreign field', ""For some reason I can't explain"", 'Once you go there was never\nNever an honest word\nAnd that was when I ruled the world', 'It was the wicked and wild wind', 'Blew down the doors to let me in', ""Shattered windows and the sound of drums\nPeople couldn't believe what I'd become"", 'Revolutionaries wait\nFor my head on a silver plate', 'Just a puppet on a lonely string\nOh who would ever want to be king?', 'I hear Jerusalem bells a-ringing', 'Roman Cavalry choirs are singing', 'Be my mirror, my sword and shield', 'My missionaries in a foreign field', ""For some reason I can't explain"", ""I know Saint Peter won't call my name"", 'Never an honest word\nBut that was when I ruled the world', 'I hear Jerusalem bells a-ringing', 'Roman Cavalry choirs are singing', 'Be my mirror, my sword and shield', 'My missionaries in a foreign field', ""For some reason I can't explain"", ""I know Saint Peter won't call my name"", 'Never an honest word\nBut that was when I ruled the world']",Viva La Vida
320,Coldplay,"['When she was just a girl\nShe expected the world\nBut it flew away from her reach\nSo she ran away in her sleep', 'And dreamed of para-para-paradise\nPara-para-paradise\nPara-para-paradise\nEvery time she closed her eyes', 'When she was just a girl\nShe expected the world\nBut it flew away from her reach', 'And the bullets catch in her teeth\nLife goes on, it gets so heavy', 'The wheel breaks the butterfly', 'Every tear, a waterfall', ""In the night, the stormy night, she'll close her eyes\nIn the night, the stormy night, away she'd fly"", 'And dreams of para-para-paradise\nPara-para-paradise\nPara-para-paradise\nOh-oh-oh-oh-oh-oh-oh-oh', ""She'd dream of para-para-paradise\nPara-para-paradise\nPara-para-paradise\nOh-oh-oh-oh-oh-oh-oh-oh"", 'La-la\nLa-la-la-la-la\nLa-la-la-la-la\nLa-la-la-la', 'So lying underneath those stormy skies', 'She\'d say, ""oh, oh-oh-oh-oh I know the sun must set to rise""', 'This could be para-para-paradise\nPara-para-paradise\nThis could be para-para-paradise\nOh-oh-oh-oh-oh-oh-oh-oh', 'This could be para-para-paradise\nPara-para-paradise\nThis could be para-para-paradise\nOh-oh-oh-oh-oh-oh-oh-oh', 'This could be para-para-paradise\nPara-para-paradise\nThis could be para-para-paradise\nOh-oh-oh-oh-oh-oh-oh-oh']",Paradise
321,Alabama Shakes,"['[Verse 1]', ""Ooh\nMy line, your line\nDon't cross them lines"", ""What you like, what I like\nWhy can't we both be right?"", ""Attacking, defending\nUntil there's nothing left, worth winning"", ""Your pride and my pride\nDon't waste my time"", ""I don't wanna fight no more"", 'Take from my hand\nPut in your hands\nThe fruit of all my grief', ""Lying down ain't easy\nWhen everyone needs pleasing\nI can't get no relief"", ""Living ain't no fun\nThe constant dedication\nKeeping the water and power on"", ""There ain't no money left\nWhy can't I catch my breath?\nI'm gonna work myself to death"", ""I don't wanna fight no more""]",Don't Wanna Fight
322,Coldplay,"[""'Cause you're a sky, 'cause you're a sky full of stars\nI'm gonna give you my heart\n'Cause you're a sky, 'cause you're a sky full of stars\n'Cause you light up the path"", ""I don't care, go on and tear me apart\nI don't care if you do, oh oh, oh"", ""'Cause in a sky, 'cause in a sky full of stars\nI think I saw you"", ""'Cause you're a sky, 'cause you're a sky full of stars\nI want to die in your arms, oh"", ""'Cause you get lighter the more it gets dark"", ""I'm gonna give you my heart, oh"", ""I don't care, go on and tear me apart\nI don't care if you do, oh oh, oh"", ""'Cause in a sky, 'cause in a sky full of stars\nI think I see you, I think I see you"", ""So sky, you're a sky full of stars\nSuch a heavenly view\nYou're such a heavenly view (yeah, yeah, yeah, oh)""]",A Sky Full Of Stars
323,Coldplay,"['[Verse 1]', ""When you try your best but you don't succeed"", ""When you get what you want but not what you need\nWhen you feel so tired but you can't sleep\nStuck in reverse"", ""When the tears come streaming down your face\nWhen you lose something you can't replace\nWhen you love someone but it goes to waste\nCould it be worse?"", 'Lights will guide you home\nAnd ignite your bones\nAnd I will try to fix you', ""And high up above or down below\nWhen you're too in love to let it go"", ""But if you never try you'll never know\nJust what you're worth"", 'Lights will guide you home\nAnd ignite your bones\nAnd I will try to fix you', 'Tears stream down your face\nWhen you lose something you cannot replace\nTears stream down your face\nAnd I…', 'Tears stream down your face\nI promise you I will learn from my mistakes\nTears stream down your face\nAnd I…', 'Lights will guide you home\nAnd ignite your bones\nAnd I will try to fix you']",Fix You
324,Coldplay,"[""The lights go out and I can't be saved\nTides that I tried to swim against\nHave brought me down upon my knees\nOh I beg, I beg and plead"", 'Singing come out of things unsaid', 'Shoot an apple off my head', ""And a trouble that can't be named"", ""A tiger's waiting to be tamed, singing—"", '[Chorus]\nYou… are…\nYou… are…', 'Confusion that never stops\nClosing walls and ticking clocks', 'Gonna come back and take you home', 'Cursed missed opportunities', 'Am I a part of the cure?\nOr am I part of the disease?', '[Chorus]\nYou… are…\nYou… are…\nYou… are…\nYou… are…\nYou… are…\nYou… are…', '[Chorus]\nYou… are…\nYou… are…', '[Outro]\n(Home) Home\nWhere I wanted to go\n(Home) Home\nWhere I wanted to go\n(Home) Home (You…)\nWhere I wanted to go (Are…)\n(Home) Home (You…)\nWhere I wanted to go (Are…)']",Clocks
325,The Strumbellas,"[""I got guns in my head and they won't go\nSpirits in my head and they won't go\nI got guns in my head and they won't go\nSpirits in my head and they won't"", 'I been looking at the stars tonight\nAnd I think oh, how I miss that bright sun', ""I'll be a dreamer 'til the day I die\nBut they say oh, how the good die young"", ""But we're all strange\nAnd maybe we don't wanna change"", ""I got guns in my head and they won't go\nSpirits in my head and they won't go\nI got guns in my head and they won't go\nSpirits in my head and they won't go\nBut the gun still rattles\nThe gun still rattles, oh\nI got guns in my head and they won't go\nSpirits in my head and they won't go"", ""I got guns in my head and they won't go\nSpirits in my head and they won't go\nI got guns in my head and they won't go\nSpirits in my head and they won't go\nBut the gun still rattles\nThe gun still rattles, oh\nBut the gun still rattles\nThe gun still rattles, oh"", '[Bridge]', ""And I don't want a never ending life\nI just want to be alive while I'm here"", ""And I don't want to see another night\nLost inside a lonely life while I'm here"", ""I got guns in my head and they won't go\nSpirits in my head and they won't go\nI got guns in my head and they won't go\nSpirits in my head and they won't go\nBut the gun still rattles\nThe gun still rattles, oh\nBut the gun still rattles\nThe gun still rattles, oh""]",Spirits
