,Artist,Lyrics,Song
10,Kings Of Leon,"['All the way from Waco to WeHo\nWith a rabbit on her chain', 'Drove a little slick car to tend bar\nWith the static on her brain', 'Little ticking time bomb, time bomb, gonna blow us all away', 'Oh, take the time to waste a moment\nOh, never ask to be forgiven', ""He's a livewire, wired, shooting sparks in the night"", 'He’s a gun for a hire, hired with a bead in his sights', 'Oh, take the time to waste a moment']",Waste A Moment
11,Highly Suspect,"[""I'm feeling the way that I'm feeling myself\nFuck everyone else"", 'Gotta remember that nobody is better than anyone else, here', 'Get up off your knees, girl\nStand face to face with your God', 'And I came down from the stars', ""I'm ready for love, and I'm ready for war"", ""So figure it out, or don't figure it out\nI figured it out"", 'The bigger the river (the bigger the river)\nThe bigger the drought (the bigger the drought)', 'Get up off your knees, boy\nStand face to face with your God', 'And find out what you are', 'Fire world, I love you', ""I'm up off my knees, girl\nI'm face to face with myself\nAnd I know who I am\n(Hello, my name is human)\nI stole my power from the sun\nI'm more than just a man\n(No longer disillusioned)"", '(And what are the chances)\n(That I could advance)\n(On my own circumstances)']",My Name Is Human
12,The 1975,"['So I heard you found somebody else\nAnd at first, I thought it was a lie', 'I took all my things that make sounds\nThe rest I can do without', ""I don't want your body\nBut I hate to think about you with somebody else\nOur love has gone cold\nYou're intertwining your soul with somebody else"", ""I'm looking through you\nWhile you're looking through your phone\nAnd then leaving with somebody else"", ""No, I don't want your body\nBut I'm picturing your body with somebody else"", ""I don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body"", ""C'mon baby (I know)\nThis ain't the last time that I'll see your face\nC'mon baby (I know)\nYou said you'd find someone to take my place"", 'Oh, I just don\'t believe that you have got it in you\n\'Cause we are just gonna keep ""doin\' it"" and every time\nI start to believe in anything you\'re saying\nI\'m reminded that I should be gettin\' over it', ""I don't want your body\nBut I hate to think about you with somebody else\nOur love has gone cold\nYou're intertwining your soul with somebody else"", ""I'm looking through you\nWhile you're looking through your phone\nAnd then leaving with somebody else"", ""No, I don't want your body\nBut I'm picturing your body with somebody else"", ""I don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body"", ""Get someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone\nGet someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone\nGet someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone\nGet someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone"", ""I don't want your body\nBut I hate to think about you with somebody else\nOur love has gone cold\nYou're intertwining your soul with somebody else"", ""I'm looking through you\nWhile you're looking through your phone\nAnd then leaving with somebody else"", ""No, I don't want your body\nBut I'm picturing your body with somebody else""]",Somebody Else
13,Green Day,"[""I'm like a child looking off in the horizon\nI'm like an ambulance that's turning on the sirens\nOh I'm still alive"", ""I'm like a soldier coming home for the first time\nI dodged a bullet and I walked across a landmine\nOh I'm still alive"", 'Just shine a light into the wreckage\nSo far away, away', ""My head's above the rain and roses\nMaking my way away"", ""'Cause I'm still breathing on my own"", ""My head's above the rain and roses\nMaking my way away"", ""I'm like a son that was raised without a father"", ""I'm like a mother barely keeping it together"", 'Just shine a line into the wreckage\nSo far away, away', ""My head's above the rain and roses\nMaking my way away"", ""My head's above the rain and roses\nMaking my way away, away..."", ""My head's above the rain and roses\nMaking my way away"", ""My head's above the rain and roses\nMaking my way away, away..."", ""My head's above the rain and roses\nMaking my way away""]",Still Breathing
14,The Lumineers,"['When you knelt by my mattress, and asked for my hand\nBut I was sad you asked it, as I laid in a black dress\nWith my father in a casket, I had no plans', 'And I left the footprints, the mud stained on the carpet\nAnd it hardened like my heart did when you left town', 'But I must admit it, that I would marry you in an instant', ""Damn your wife, I'd be your mistress just to have you around"", ""But I was late for this, late for that, late for the love of my life\nAnd when I die alone, when I die alone, when I die I'll be on time"", 'While the church discouraged, any lust that burned within me', 'Yes my flesh, it was my currency, but I held true', 'So I drive a taxi, and the traffic distracts me\nFrom the strangers in my backseat, they remind me of you', ""And when I die alone, when I die alone, when I die I'll be on time"", 'And the only gifts from my Lord were a birth and a divorce', ""But I've read this script and the costume fits, so I'll play my part"", ""I was Cleopatra, I was taller than the rafters\nBut that's all in the past now, gone with the wind"", ""Now a nurse in white shoes leads me back to my guestroom\nIt's a bed and a bathroom\nAnd a place for the end"", ""I won't be late for this, late for that, late for the love of my life\nAnd when I die alone, when I die alone, when I die I'll be on time""]",Cleopatra
15,John Mayer,"['We found a message in a bottle we were drinking', ""And I'll be dreamin' of the next time we can go\nInto another serotonin overflow""]",Love On The Weekend
16,Blink-182,"[""She said no I'm not, no I'm not, no I'm not alright\nI lost my head on the door"", ""She's a-a-a-antisocial, a-a-a-antisocial\nA-a-and she's an angel, yeah"", 'She got a black shirt, black skirt and Bauhaus stuck in her head', 'And threw herself on the floor', ""She's a-a-a-antisocial, a-a-a-antisocial\nA-a-a she's an angel, yeah"", '[Bridge: Mark Hoppus]']",She's Out Of Her Mind
17,The xx,"[""I can't hold on\nTo an empty space"", ""Now you've found a new star to orbit\nIt could be love"", ""I think you're too soon to call us old\nWhen and where did we go cold?\nI thought I had you on hold"", 'And every time I let you leave\nI always saw you coming back to me', 'When and where did we go cold?\nI thought I had you on hold', ""[Post-Chorus 1: Oliver Sim & Hall & Oates]\nWhere does it stop, where does it stop\nWhere do you dare me to (draw the line)?\nYou've got the body, you've got the body\nDare me to, dare me to\nWhere does it stop, where does it stop\nWhere do you dare me to (draw the line)?\nYou've got the body, you've got the body\nYou've got the body, you've got the body"", 'I thought I had you on hold', ""Where does it stop, where does it stop\nWhere do you dare me to (draw the line)?\nYou've got the body, you've got the body\nDare me to, dare me to\nWhere does it stop, where does it stop\nWhere do you dare me to (draw the line)?\nYou've got the body, you've got the body\nDare me to, dare me to"", 'My young heart chose to believe\nWe were destined\nYoung hearts\nAll need love\nCall it a lesson', 'The stars and the charts\nAnd the cards make sense\nOnly when we want them to\nWhen I lie awake staring in to space\nI see a different view', ""Now you've found a new star to orbit\nIt could be love"", ""I think you're too soon to call us old\nWhen and where did we go cold?\nI thought I had you on hold"", 'And every time I let you leave\nI always saw you coming back to me', 'I thought I had you on hold\nI thought I had you on hold\nI thought I had you on hold', ""Where does it stop, where does it stop\nWhere do you dare me to (draw the line)?\nYou've got the body, you've got the body\nDare me to, dare me to\nWhere does it stop, where does it stop\nWhere do you dare me to (draw the line)?\nYou've got the body, you've got the body\nYou've got the body, you've got the body\nWhere does it stop, where does it stop\nWhere do you dare me to (draw the line)?\nYou've got the body, you've got the body\nDare me to, dare me to\nWhere does it stop, where does it stop\nWhere do you dare me to (draw the line)?\nYou've got the body, you've got the body\nDare me to, dare me to"", 'And every time I let you leave\nI always saw you coming back to me', 'I thought I had you on hold\nI thought I had you on hold\nI thought I had you on hold']",On Hold
18,Zach Williams,[],Chain Breaker
19,twenty one pilots,"['Turn away', ""If you could get me a drink\nOf water 'cause my lips are chapped and faded"", 'Call my aunt Marie\nHelp her gather all my things', 'And bury me in all my favorite colors', ""My sisters and my brothers\nStill\nI will not kiss you\n'Cause the hardest part of this is leaving you"", '[Chorus]', 'I will not kiss you (kiss you)', '(Turn away)', 'Lips are chapped and faded', 'Call my (call my)', '(Turn away)', 'Lips are chapped and faded (faded)', 'Kiss you (kiss you)', '(Turn away)', 'Lips are chapped and faded', 'Call my (call my)', '(Turn away)', 'Lips are chapped and faded (faded)', ""Turn away\n'Cause I'm awful just to see\nAnd all my hairs abandoned all my body"", 'All my agony', 'Know that I will never marry\nBaby,', ""I'm just soggy from the chemo"", ""I'm counting down the days to go\nThis just ain't livin'\nAnd I just hope you know"", '[Chorus]', 'I will not kiss you (kiss you)', '(Turn away)', 'Lips are chapped and faded', 'Call my (call my)', '(Turn away)', 'Lips are chapped and faded (faded)', 'Kiss you (kiss you)', '(Turn away)', 'Lips are chapped and faded', 'Call my (call my)', '(Turn away)', 'Lips are chapped and faded (faded)', ""If you say (if you say)\nGoodbye today (goodbye today)\nI'll ask you to be true (I'll ask you to be true)"", ""'Cause the hardest part of this is leaving you\nYes, the hardest part of this..."", 'I will not kiss you (kiss you)', 'Lips are chapped and faded', 'Call my (Call my)', 'Lips are chapped and faded (faded)', 'Kiss you (kiss you)', 'Lips are chapped and faded', 'Call my (Call my)', 'Lips are chapped and faded (faded)']",Cancer
